horizon,forecast_timestamp,block_number,predicted_mcp,zone,confidence,spike_probability,lower_bound,upper_bound
1,2026-06-04T20:00:00+05:30,81,3218.9,YELLOW,0.6804,0.0,3069.63,3368.17
2,2026-06-04T20:15:00+05:30,82,3242.36,YELLOW,0.6564,0.0,3040.11,3444.61
3,2026-06-04T20:30:00+05:30,83,3147.85,YELLOW,0.6989,0.0,3040.61,3255.08
4,2026-06-04T20:45:00+05:30,84,3240.17,YELLOW,0.7069,0.0,3147.12,3333.21
5,2026-06-04T21:00:00+05:30,85,3300.0,YELLOW,0.7206,0.0,3235.36,3364.65
6,2026-06-04T21:15:00+05:30,86,3317.64,YELLOW,0.7381,0.0,3291.31,3343.97
7,2026-06-04T21:30:00+05:30,87,3281.46,YELLOW,0.7049,0.0,3182.89,3380.03
8,2026-06-04T21:45:00+05:30,88,3284.86,YELLOW,0.7035,0.0,3183.03,3386.68
9,2026-06-04T22:00:00+05:30,89,3345.53,YELLOW,0.9773,0.0,3307.52,3383.53
10,2026-06-04T22:15:00+05:30,90,3419.88,YELLOW,0.9534,0.0,3340.26,3499.5
11,2026-06-04T22:30:00+05:30,91,3433.67,YELLOW,0.9365,0.0,3324.65,3542.69
12,2026-06-04T22:45:00+05:30,92,3307.02,YELLOW,0.9299,0.0,3191.15,3422.89
13,2026-06-04T23:00:00+05:30,93,3240.63,YELLOW,0.9233,0.0,3116.28,3364.98
14,2026-06-04T23:15:00+05:30,94,3106.94,YELLOW,0.9091,0.0,2965.71,3248.16
15,2026-06-04T23:30:00+05:30,95,3090.83,YELLOW,0.8971,0.0,2931.78,3249.88
16,2026-06-04T23:45:00+05:30,96,3003.0,YELLOW,0.9109,0.0,2869.15,3136.85
17,2026-06-05T00:00:00+05:30,1,3038.01,YELLOW,0.8703,0.0,2840.99,3235.03
18,2026-06-05T00:15:00+05:30,2,2883.74,GREEN,0.8211,0.0,2625.86,3141.62
19,2026-06-05T00:30:00+05:30,3,2801.38,GREEN,0.8046,0.0,2527.75,3075.02
20,2026-06-05T00:45:00+05:30,4,2703.26,GREEN,0.8216,0.0,2462.18,2944.35
21,2026-06-05T01:00:00+05:30,5,2635.58,GREEN,0.8082,0.0,2382.8,2888.36
22,2026-06-05T01:15:00+05:30,6,2571.15,GREEN,0.7537,0.0,2254.49,2887.82
23,2026-06-05T01:30:00+05:30,7,2499.71,GREEN,0.7272,0.0,2158.72,2840.7
24,2026-06-05T01:45:00+05:30,8,2489.02,GREEN,0.7949,0.0,2233.8,2744.24
25,2026-06-05T02:00:00+05:30,9,2462.34,GREEN,0.7948,0.0,2209.66,2715.02
26,2026-06-05T02:15:00+05:30,10,2491.23,GREEN,0.8202,0.0,2267.27,2715.2
27,2026-06-05T02:30:00+05:30,11,2489.4,GREEN,0.7806,0.0,2216.26,2762.54
28,2026-06-05T02:45:00+05:30,12,2471.78,GREEN,0.7931,0.0,2216.05,2727.52
29,2026-06-05T03:00:00+05:30,13,2466.01,GREEN,0.7904,0.0,2207.59,2724.43
30,2026-06-05T03:15:00+05:30,14,2513.44,GREEN,0.8348,0.0,2305.84,2721.04
31,2026-06-05T03:30:00+05:30,15,2469.61,GREEN,0.7943,0.0,2215.59,2723.62
32,2026-06-05T03:45:00+05:30,16,2489.32,GREEN,0.8463,0.0,2297.98,2680.66
33,2026-06-05T04:00:00+05:30,17,2467.96,GREEN,0.8255,0.0,2252.61,2683.32
34,2026-06-05T04:15:00+05:30,18,2579.57,GREEN,0.8634,0.0,2403.41,2755.74
35,2026-06-05T04:30:00+05:30,19,2548.34,GREEN,0.8463,0.0,2352.49,2744.18
36,2026-06-05T04:45:00+05:30,20,2527.69,GREEN,0.8176,0.0,2297.21,2758.17
37,2026-06-05T05:00:00+05:30,21,2508.25,GREEN,0.7718,0.0,2222.03,2794.47
38,2026-06-05T05:15:00+05:30,22,2569.72,GREEN,0.8553,0.0,2383.76,2755.68
39,2026-06-05T05:30:00+05:30,23,2496.94,GREEN,0.7645,0.0,2202.94,2790.93
40,2026-06-05T05:45:00+05:30,24,2514.4,GREEN,0.809,0.0,2274.28,2754.51
41,2026-06-05T06:00:00+05:30,25,2664.6,GREEN,0.8779,0.0,2501.9,2827.3
42,2026-06-05T06:15:00+05:30,26,2832.25,GREEN,0.9559,0.0,2769.77,2894.72
43,2026-06-05T06:30:00+05:30,27,2708.32,GREEN,0.8869,0.0,2555.13,2861.5
44,2026-06-05T06:45:00+05:30,28,2554.35,GREEN,0.8733,0.0,2392.48,2716.21
45,2026-06-05T07:00:00+05:30,29,2455.24,GREEN,0.7651,0.0,2166.84,2743.64
46,2026-06-05T07:15:00+05:30,30,2490.8,GREEN,0.7758,0.0,2211.62,2769.99
47,2026-06-05T07:30:00+05:30,31,2433.82,GREEN,0.7532,0.0,2133.44,2734.21
48,2026-06-05T07:45:00+05:30,32,2419.54,GREEN,0.7804,0.0,2153.81,2685.26
49,2026-06-05T08:00:00+05:30,33,2413.77,GREEN,0.9446,0.0,2198.19,2629.35
50,2026-06-05T08:15:00+05:30,34,2461.61,GREEN,0.9318,0.0,2228.12,2695.11
51,2026-06-05T08:30:00+05:30,35,2426.48,GREEN,0.9176,0.0,2181.3,2671.66
52,2026-06-05T08:45:00+05:30,36,2420.88,GREEN,0.9152,0.0,2173.76,2668.01
53,2026-06-05T09:00:00+05:30,37,2448.27,GREEN,0.9627,0.0,2248.87,2647.68
54,2026-06-05T09:15:00+05:30,38,2463.81,GREEN,0.9846,0.0,2286.62,2640.99
55,2026-06-05T09:30:00+05:30,39,2419.58,GREEN,0.969,0.0,2229.22,2609.94
56,2026-06-05T09:45:00+05:30,40,2412.16,GREEN,0.967,0.0,2220.21,2604.11
57,2026-06-05T10:00:00+05:30,41,2396.37,GREEN,0.9781,0.0,2217.23,2575.51
58,2026-06-05T10:15:00+05:30,42,2472.03,GREEN,0.9985,0.0,2309.19,2634.87
59,2026-06-05T10:30:00+05:30,43,2456.8,GREEN,1.0,0.0,2301.61,2611.99
60,2026-06-05T10:45:00+05:30,44,2455.45,GREEN,1.0,0.0,2309.66,2601.24
61,2026-06-05T11:00:00+05:30,45,2445.4,GREEN,1.0,0.0,2318.54,2572.27
62,2026-06-05T11:15:00+05:30,46,2478.14,GREEN,1.0,0.0,2345.62,2610.66
63,2026-06-05T11:30:00+05:30,47,2451.21,GREEN,0.9765,0.0,2266.27,2636.15
64,2026-06-05T11:45:00+05:30,48,2450.68,GREEN,0.9737,0.0,2262.8,2638.56
65,2026-06-05T12:00:00+05:30,49,2432.44,GREEN,1.0,0.0,2290.32,2574.56
66,2026-06-05T12:15:00+05:30,50,2465.17,GREEN,1.0,0.0,2317.04,2613.29
67,2026-06-05T12:30:00+05:30,51,2446.36,GREEN,1.0,0.0,2305.56,2587.16
68,2026-06-05T12:45:00+05:30,52,2441.54,GREEN,1.0,0.0,2311.55,2571.53
69,2026-06-05T13:00:00+05:30,53,2215.43,GREEN,0.9626,0.0,2034.94,2395.92
70,2026-06-05T13:15:00+05:30,54,2480.54,GREEN,1.0,0.0,2336.84,2624.25
71,2026-06-05T13:30:00+05:30,55,2554.22,GREEN,1.0,0.0,2441.31,2667.13
72,2026-06-05T13:45:00+05:30,56,2611.0,GREEN,1.0,0.0,2534.39,2687.6
73,2026-06-05T14:00:00+05:30,57,2657.91,GREEN,1.0,0.0,2566.29,2749.52
74,2026-06-05T14:15:00+05:30,58,2688.81,GREEN,1.0,0.0,2587.22,2790.41
75,2026-06-05T14:30:00+05:30,59,2684.6,GREEN,1.0,0.0,2607.4,2761.79
76,2026-06-05T14:45:00+05:30,60,2691.0,GREEN,1.0,0.0,2616.53,2765.48
77,2026-06-05T15:00:00+05:30,61,2678.36,GREEN,0.7796,0.0,2567.44,2789.28
78,2026-06-05T15:15:00+05:30,62,2757.19,GREEN,0.7945,0.0,2667.24,2847.15
79,2026-06-05T15:30:00+05:30,63,2738.12,GREEN,0.7691,0.0,2607.74,2868.49
80,2026-06-05T15:45:00+05:30,64,2746.48,GREEN,0.8071,0.0,2677.19,2815.77
81,2026-06-05T16:00:00+05:30,65,2667.64,GREEN,0.7537,0.0,2516.5,2818.79
82,2026-06-05T16:15:00+05:30,66,2784.1,GREEN,0.8143,0.0,2725.68,2842.51
83,2026-06-05T16:30:00+05:30,67,2744.9,GREEN,0.8045,0.0,2671.38,2818.42
84,2026-06-05T16:45:00+05:30,68,2731.43,GREEN,0.7021,0.0,2644.13,2818.74
85,2026-06-05T17:00:00+05:30,69,2521.31,GREEN,0.5557,0.0,2194.67,2847.95
86,2026-06-05T17:15:00+05:30,70,2707.28,GREEN,0.7063,0.0,2628.46,2786.09
87,2026-06-05T17:30:00+05:30,71,2687.59,GREEN,0.6871,0.0,2574.89,2800.29
88,2026-06-05T17:45:00+05:30,72,2662.54,GREEN,0.6686,0.0,2517.98,2807.1
89,2026-06-05T18:00:00+05:30,73,2311.6,GREEN,0.5963,0.0,2074.8,2548.41
90,2026-06-05T18:15:00+05:30,74,3154.51,YELLOW,0.6325,0.0,2907.32,3401.7
91,2026-06-05T18:30:00+05:30,75,3251.73,YELLOW,0.6467,0.0,3027.85,3475.61
92,2026-06-05T18:45:00+05:30,76,3325.46,YELLOW,0.7271,0.0,3274.79,3376.13
93,2026-06-05T19:00:00+05:30,77,3337.59,YELLOW,0.6968,0.0,3219.15,3456.03
94,2026-06-05T19:15:00+05:30,78,3239.03,YELLOW,0.7047,0.0,3141.18,3336.89
95,2026-06-05T19:30:00+05:30,79,3167.38,YELLOW,0.6913,0.0,3043.33,3291.44
96,2026-06-05T19:45:00+05:30,80,3136.0,YELLOW,0.7036,0.0,3039.03,3232.97
